Size (n*n),Runtime
285,0.0009050369262695312
286,0.0008428096771240234
287,0.0008571147918701172
288,0.0008699893951416016
289,0.0008580684661865234
290,0.0009047985076904297
291,0.0009479522705078125
292,0.0009107589721679688
293,0.001135110855102539
294,0.0009708404541015625
295,0.0009348392486572266
296,0.0010821819305419922
297,0.0009660720825195312
298,0.0009777545928955078
299,0.0010080337524414062
300,0.0009827613830566406
301,0.0009670257568359375
302,0.0009601116180419922
303,0.0010156631469726562
304,0.001024007797241211
305,0.0009860992431640625
306,0.0010268688201904297
307,0.001043081283569336
308,0.0010268688201904297
309,0.0010418891906738281
310,0.0010290145874023438
311,0.0010938644409179688
312,0.0010328292846679688
313,0.001065969467163086
314,0.0010631084442138672
315,0.0010519027709960938
316,0.0011610984802246094
317,0.0011110305786132812
318,0.001168966293334961
319,0.0010700225830078125
320,0.0010938644409179688
321,0.0011489391326904297
322,0.0011069774627685547
323,0.0011200904846191406
324,0.0011661052703857422
325,0.0011661052703857422
326,0.0011360645294189453
327,0.001116037368774414
328,0.001191854476928711
329,0.0011451244354248047
330,0.0011479854583740234
331,0.0012440681457519531
332,0.0012199878692626953
333,0.0012209415435791016
334,0.0012428760528564453
335,0.0013308525085449219
336,0.0012023448944091797
337,0.0012149810791015625
338,0.0012569427490234375
339,0.001199960708618164
340,0.0012180805206298828
341,0.001260995864868164
342,0.0012729167938232422
343,0.0015151500701904297
344,0.001332998275756836
345,0.0013370513916015625
346,0.001255035400390625
347,0.0012700557708740234
348,0.0013358592987060547
349,0.0013129711151123047
350,0.0013718605041503906
351,0.00133514404296875
352,0.0013480186462402344
353,0.0013082027435302734
354,0.0013167858123779297
355,0.0014030933380126953
356,0.0013382434844970703
357,0.0013480186462402344
358,0.0014061927795410156
359,0.0014128684997558594
360,0.0014798641204833984
361,0.0014042854309082031
362,0.0014488697052001953
363,0.0013768672943115234
364,0.0013921260833740234
365,0.0014600753784179688
366,0.0014650821685791016
367,0.0017497539520263672
368,0.0014872550964355469
369,0.0015048980712890625
370,0.0014438629150390625
371,0.0015130043029785156
372,0.0015630722045898438
